Name,Runtime,Genre,IMDB,Director,Stars
Proximity,119,"Drama, Sci-Fi",5.5,Eric Demeusy,"Ryan Masson, Highdee Kuan, Christian Prentice, Shaw Jones"
Space,93,"Horror, Sci-Fi",1.7,Monte Light,"Len Kabasinski, Lara Jean Sullivan, Kurt Quinn, Kat Sheridan"
Cheema Prema Madhyalo Bhama,115,"Drama, Romance",6.4,Srikanth 'Sri' Appalaraju,"Amith, Indhu Cherukuri"
The Crumbs,110,"Horror, Thriller",5.6,David J. Espinosa,"Jeff Hatch, Maria Olsen, Chelsea Jurkiewicz, Anton Clark"
Abortifacient,84,"Drama, Fantasy, Horror",9.5,Fatima Hye,"Brian Bogart, Vickey Burns, Will Burnson, Bonnie Gayle Sparks"
Nowhere Alaska,85,Mystery,2.4,Cory Carroll,"Jonez Cain, Conner Floyd, Delana Green, Christopher Monfor Jr."
The Match-Stick Flame,77,"Action, Crime, Thriller",6.9,Craig Robert Bruss,"Craig Robert Bruss, Alex Hramakouski, Stan Knight, Michael Wilkinson-Koelzer"
Warpath,89,Western,3.4,Josh Becker,"Thom Mathews, Sasha Higgins, Andrew Dawe-Collins, Matt Fling"
Doug,133,Drama,6.4,Jonathan Latona,"Abby Craden, Vered Blonstein, Zack Zublena, Doug Burch"
Fearless,89,"Animation, Comedy, Family",4.8,Cory Edwards,"Yara Shahidi, Miles Robbins, Miguel, Jadakiss"
La suite nupcial,92,"Comedy, Drama",4.1,Carlos Iglesias,"Carlos Iglesias, Ana Arias, Ana Fernández, Eloísa Vargas"
Electric Jesus,107,Music,8.5,Chris White,"Judd Nelson, Brian Baumgartner, Claire Bronson, Rhoda Griffis"
Morris,74,Horror,8.0,Jason M.J. Brown,"Adam Probets, Tamara Glynn, Lamissah La-Shontae, Darren Randall"
We Wait in the Woods,45,Horror,3.3,Joe Duncombe,"Marian Elizabeth, Jamie Evans, Céline Beran, Henry Morris"
Run Sweetheart Run,98,"Horror, Thriller",5.9,Shana Feste,"Ella Balinska, Pilou Asbæk, Clark Gregg, Shohreh Aghdashloo"
Violet Evergarden: Hồi Ức Không Quên,140,"Animation, Drama, Fantasy",8.3,Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa"
La Palma,88,"Comedy, Drama, Romance",7.6,Erec Brehmer,"Marleen Lohse, Daniel Sträßer, Dani Alvarez, Jesper Ankarfeldt"
Voices,108,"Drama, Horror, Thriller",3.9,Nathaniel Nuon,"Ashley Bell, Jordan Ladd, Leslie Easterbrook, Valerie Jane Parker"
Nosferatu Re-Animated,79,"Animation, Horror",7.2,Fran Blackwood,
Crawlers,90,Horror,4.3,Gisyerg Bermudez,"Richard Ryan, Anniette Sharai Calderon, Steve Silverie, Daniela Villamizar"
Reap,95,Horror,7.5,Joe Leone,"Alexis Abrams, Angelica Arroliga, Gregory Barker, Jordan Allen Bell"
Making Time,107,"Adventure, Romance",5.8,Grant Pichla,"Mason Heidger, Tori Titmas, Steve Berglund, Katie Sullivan"
Sins of a Scorned Wife,106,Drama,3.7,,"Paul Ynfante, Whitney Skye, Ashley Morris, Faith Simmons"
The Opening Act,90,Comedy,6.0,Steve Byrne,"Jimmy O. Yang, Alex Moffat, Cedric the Entertainer, Bill Burr"
Lazy Susan,90,Comedy,5.2,Nick Peet,"Sean Hayes, Maria Shriver, Leah Huebner, Dominick LaRuffa Jr."
Escape 2120,107,Sci-Fi,4.2,Brian K Bennett,"Edward Pritchard, Samantha Ipema, Roe Pacheco, Paul Kandarian"
Trốn Chạy,90,"Horror, Mystery, Thriller",6.7,Aneesh Chaganty,"Sarah Paulson, Kiera Allen, Sara Sohn, Pat Healy"
"Quo vadis, Aida?",101,"Drama, War",6.8,Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic"
Drive Me to the End,81,Drama,5.6,Richard Summers-Calvert,"Kate Lister, Richard Summers-Calvert, Tracey Wilkinson, Claire King"
Spenser Confidential,111,"Action, Comedy, Crime",6.2,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger"
La Francisca,80,Drama,5.6,Rodrigo Litorriaga,"Javiera Gallardo, Aatos Flores, Francisco Ossa, Roberto Flores"
Survival Skills,85,"Comedy, Drama",5.5,Quinn Armstrong,"Stacy Keach, Vayu O'Donnell, Spencer Garrett, Ericka Kreutz"
Hammamet,126,"Biography, Drama",5.5,Gianni Amelio,"Pierfrancesco Favino, Livia Rossi, Luca Filippi, Silvia Cohen"
Alone,93,Thriller,5.4,James Cullen Bressack,"Yulia Klass, Bruce Davison, Josh Kelly, Michelle Burke"
O Clube dos Anjos,101,,5.4,Angelo Defanti,"André Abujamra, Ângelo Antônio, Arthur Asson, António Capelo"
Out of Time,73,Drama,5.1,Leon Lopez,"Marcus Collins, Suzanne Collins, Jamie Cousins, Louis Emerick"
Rifkin's Festival,92,Comedy,6.2,Woody Allen,"Wallace Shawn, Gina Gershon, Louis Garrel, Elena Anaya"
Faith Under Fire,88,Drama,2.7,Joel Paul Reisig,"Nick Vlassopoulos, Tenley, Dean Cain, Kevin Sorbo"
Who Was Phone?,105,"Comedy, Horror",4.2,,"Nina Adamovic, Alla, Valeriya Bakhtieva, Brian Barber"
Eurovision Song Contest: The Story of Fire Saga,123,"Comedy, Music",6.5,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens, Mikael Persbrandt"
Non odiare,96,Drama,5.8,Mauro Mancini,"Alessandro Gassmann, Sara Serraiocco, Luka, Lorenzo Buonora"
The Very Excellent Mr. Dundee,88,Comedy,4.8,Dean Murphy,"Mel Gibson, Chevy Chase, Luke Bracey, Olivia Newton-John"
Teacher Shortage,86,Horror,6.5,Troy Escamilla,"Brinke Stevens, Debra Lamb, Julie Anne Prescott, Tamara Glynn"
Live,84,"Drama, Music, Sci-Fi",6.9,Lisa Friederich,"Christine Chapman, Corbinian Deller, Sonja Dengler, Julian Greis"
A Bennett Song Holiday,117,"Comedy, Drama, Family",5.7,Harley Wallen,"Corbin Bernsen, Dennis Haskins, Calhoun Koenig, Bryce Xavier"
La Restauración,94,Comedy,6.6,Alonso Llosa,"Paul Vega, Attilia Boschetti, Delfina Paredes, Pietro Sibille"
Adventures of Rufus: The Fantastic Pet,82,"Adventure, Family",4.2,Ryan Bellgardt,"Kyler Charles Beck, Cory Phillips, Leah N.H. Philpott, Madelyn Kientz"
The Way Back,108,"Drama, Sport",6.7,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins"
Los pájaros no vuelan de noche,70,"Drama, Thriller",7.3,,"Albert Salazar, Fabián Castro, Júlia Ferré, Xavi Soler"
Murder RX,86,Drama,3.6,Ken Brisbois,"Ana Alexander, Naomi Grossman, Taylor Rouviere, Demi Castro"
Sayonee,111,"Action, Musical, Romance",3.1,,"Tanmay Ssingh, Musskan Sethi, Yograj Singh, Upasna Singh"
Next Door,83,"Comedy, Drama, Horror",3.9,Matt Shaw,"Jan Anderson, Vas Blackwood, Amanda Clapham, Tony Cook"
Light in the Dark,105,Thriller,6.1,Ekene Som Mekwunye,"Bimbo Ademoye, Saidi Balogun, Rita Dominic, Rita Dominic"
I Know You,98,Horror,3.4,Jayveer Panghaal,"Agast Anand, Nishant Bhardwaj, Muzahid Khan, Sagarika Neha"
Favolacce,98,Drama,6.6,,"Elio Germano, Tommaso Di Cola, Giulietta Rebeggiani, Gabriel Montesi"
Juvenile Delinquents: New World Order,118,Drama,6.8,Neil Goss,"Demitra Sealy, Silvia Dionicio, Amanda Greer, Sean Stolzen"
Amudhan aka Sinamkol,121,Drama,8.3,Ranjith Joseph,"Aravindhan, Sinthar Athith, Leelawathy, Mathumathi"
Học Viện Quái Vật: Du Học Sinh,80,Animation,5.4,Leopoldo Aguilar,"Jamie Bell, Jayssolitt, Ruby Rose"
Roped,91,"Drama, Romance",5.3,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lauren Swickard, Christina Moore"
Happiest Season,102,"Comedy, Drama, Romance",6.7,Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber"
The Forgiving,103,Drama,5.9,David J. Stern,"John Gerard Healy, Jenna Sokolowski, Emily Classen, Andy Brownstein"
Getting It,105,Romance,7.0,Tom Heard,"Tom Heard, Donato De Luca, Sharron Bower, Lesley Pedersen"
Clown Fear,109,Horror,2.9,Minh Collins,"Randy Wayne, Isaac C. Singleton Jr., Sarah French, Darcy DeMoss"
Summerland,80,Comedy,7.3,Lankyboy,"Dion Arnold, Greg Auch, Chris Ball, Noah Grossman"
Nhà Của Hắn,93,"Drama, Horror, Thriller",6.5,Remi Weekes,"Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith"
Siempre es Otoño,75,"Drama, Romance",6.5,Alex Sereno,"Isabel Pecci, Gonzalo Cortés, Marta Nebot"
Betta Fish,76,Drama,2.5,Bill Cooper,"Joshua Ungaretti, Ava Justin, Mike Bredon, Megan McNamara"
Hamilton,160,"Biography, Drama, History",8.6,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry"
Valle paradiso,79,Thriller,7.8,Carlo Fusco,"Ieva Lykos, Gianni Alvino, Ralph Guzzo, Lauren Henry"
Running Naked,92,Drama,6.4,Victor Buhler,"Tamzin Merchant, Matthew McNulty, Andrew Gower, Rakhee Thakrar"
Backwoods,70,"Horror, Thriller",6.7,Thomas Smith,"Jeremy Sande, Isabella Alberti, Tahj Vaughans, Erin Lilley"
Spare Parts,91,Horror,4.0,Andrew Thomas Hunt,"Julian Richings, Michelle Argyris, Emily Alatalo, Kiriana Stanton"
L'ennemi,105,,7.9,Stephan Streker,"Jérémie Renier, Alma Jodorowsky, Emmanuelle Bercot, Félix Maritaud"
Your Eyes on Me,79,Drama,6.6,Sergei Alexander,"Paul Stone, Jean-Philippe Boriau, Niamh Sullivan, Silva Beshi"
Bad Therapy,97,"Comedy, Drama, Romance",4.3,William Teitler,"Rob Corddry, Anna Pniowsky, Alicia Silverstone, Aisha Tyler"
Yield,77,Horror,2.7,Loren Molloy,"Lyon Beckwith, Amy Bevilacqua, Bryden Elliott DiGennaro, Chelsea LeSage"
Rook,70,"Comedy, Crime, Drama",6.6,Stephen Morgan,"Zack Rush, Sarah Johanna Jewell, Bobby Lee Black, Lew Temple"
Black Beauty,110,"Drama, Family",6.3,Ashley Avis,"Kate Winslet, Mackenzie Foy, Iain Glen, Calam Lynch"
Thank You 5,113,Comedy,9.0,,"Reid Estreicher, Meghan Murphy, Richard Kallus, Emily Zawisza"
City of Salt,115,"Drama, Mystery",6.0,,"Charla Bocchicchio, Stephen Harr, Stacylyn Bennett, Kayli Brummer"
75 días,130,"Crime, Drama, Thriller",5.5,Marc Romero,"Javier Albalá, Txema Arribas, Javier Ruiz Bobillo, Carlos Bravo"
Mott Haven,96,Drama,7.5,Michael Domino,"Robert Davi, Chuck Zito, Paul Wilson, Deborah Green"
Volevo nascondermi,120,"Biography, Drama",6.2,Giorgio Diritti,"Elio Germano, Oliver Ewy, Leonardo Carrozzo, Pietro Traldi"
Shine Your Eyes,102,"Drama, Thriller",6.4,Matias Mariani,"O.C. Ukeje, Paolo André, Barry Igujie, Chukwudi Iwuji"
Tulsa,120,"Comedy, Drama",4.7,,"Scott Pryor, Livi Birch, John Schneider, Nicole Marie Johnson"
Chintu Ka Birthday,80,"Drama, War",7.8,,"Vinay Pathak, Tillotama Shome, Seema Bhargava, Khaled Masso"
Fractal,77,Drama,5.4,Mariana Gonzalez,"Tato Alexander, Hugo Catalán, Emilio Cuaik, Ricardo Gutierrez"
Like Love,90,Comedy,9.0,Michael Wolfe,"Stephanie Kerbis, Nick Ventra, Ellen Smith, Joseph Bricker"
Blondie Maxwell never loses,87,"Action, Crime, Sci-Fi",4.3,Julien Ivanowich,"Mariya Cazals, Boris de la Higuera, Stéphane Dufourcq, Enisor Gayon"
Servants,80,Drama,6.1,Ivan Ostrochovský,"Samuel Skyva, Samuel Polakovic, Vlad Ivanov, Vladimír Strnisko"
The Tax Collector,95,"Action, Crime, Drama",4.7,David Ayer,"Bobby Soto, Cinthya Carmona, Shia LaBeouf, Jose Conejo Martin"
The Marijuana Conspiracy,124,Drama,7.4,Craig Pryce,"Tymika Tafari, Julia Sarah Stone, Morgan Kohan, Brittany Bristow"
"Arpachai, a song of separation",92,"Drama, Romance",6.2,Ali Abdali,"Emrah Dadashov, Yeganeh Pasanideh, Hamed Ghaffarpour, Hadi Eftekharzade"
Happy Horror Days,87,Horror,2.7,,"Brooke Bradshaw, Wesley Alley, Whitney Alley, Michael Antosy"
Second Samuel,99,Drama,9.0,J Wayne Patterson Jr,"E. Roger Mitchell, Bethany Anne Lind, Stan Houston, Clifton Truman Daniel"
The Family Tree,131,Drama,6.1,Jorge Ameer,"Michael Joseph Nelson, Keith Roenke, Anaïs Lucia, Jorge Ameer"
Skull: The Mask,90,"Fantasy, Horror",6.3,,"Ivo Müller, Tristan Aronovich, Elder Fraga, Gilda Nomacce"
Small Time,104,Drama,9.3,Niav Conty,"Audrey Grace Marshall, Kevin Loreque, Holter Graham, Dominique Johnson"
Virtual Death Match,108,Adventure,3.2,Louisa Warren,"Sarah T. Cohen, Tara MacGowran, Tiffany-Ellen Robinson, Richard D. Myers"
Rolling Thunder,84,Comedy,8.6,Peter Curtis Pardini,"Jake Thomas Armbruster, Wes Studi, Joe Mantegna, Katherine Muise"
Night Into Day,78,Thriller,4.6,Ben Hall,"Justin Gaston, April Gooding, Ray Corasani, Christopher Mychael Watson"
Friendsgiving,95,"Comedy, Drama",4.2,Nicol Paone,"Malin Akerman, Kat Dennings, Jack Donnelly, Aisha Tyler"
Shepard,71,Thriller,4.1,Jourdan McClure,"Ashley Nicole Williams, Greg Proops, Kareem J. Grimes, Will Beinbrink"
Shirley,107,"Biography, Drama, Mystery",6.2,Josephine Decker,"Elisabeth Moss, Odessa Young, Michael Stuhlbarg, Logan Lerman"
Chess Match,100,"Drama, Thriller",5.8,Timothy Serewicz,"Paul Bright, Stuart G. Bennett, Eleanor O'Brien, Maria Mogavero"
The Last Bite,70,"Drama, Mystery, Sci-Fi",4.8,Sebastiano Pupino,"Carlos Carvalho, Laura Jean Marsh, Sumit Chakravarti, Eleonora Cucciarelli"
Skin: The Movie,51,Comedy,6.9,Ronn Kilby,"Mark Christopher Lawrence, Michelle Way, Diane Sargent, Mark Atkinson"
Body of Water,95,Drama,6.8,Lucy Brydon,"Sian Brooke, Amanda Burton, Fabienne Piolini-Castle, Nick Blood"
Be the Light,109,"Drama, Musical",5.9,Malcolm Goodwin,"Cara Santana, Malcolm Goodwin, Michael DeLorenzo, Tom Cavanagh"
One of These Days,119,Drama,5.9,Bastian Günther,"Joe Cole, Carrie Preston, Callie Hernandez, Cullen Moss"
Thí Nghiệm Xác Sống,106,Horror,5.5,Russell Owen,"Meg Alexandra, Gabz Barker, Kate Bell, Raymond Bethley"
King of Knives,95,"Comedy, Drama",6.6,Jon Delgado,"Gene Pope, Mel Harris, Roxi Pope, Emily Bennett"
Kill It and Leave This Town,88,"Animation, Horror",6.7,Mariusz Wilczynski,"Andrzej Wajda, Daniel Olbrychski, Krystyna Janda, Maja Ostaszewska"
Kød & blod,89,"Crime, Drama, Thriller",6.2,Jeanette Nordahl,"Sandra Guldberg Kampp, Sidse Babett Knudsen, Joachim Fjelstrup, Elliott Crosset Hove"
Torn: Dark Bullets,96,Thriller,6.3,Dan Rizzuto,"Sam Vincent, Dexter Bell, William 'Big Sleeps' Stewart, Karen Holness"
Mighty Oak,102,"Comedy, Drama",4.8,Sean McNamara,"Janel Parrish, Tommy Ragen, Carlos PenaVega, Ben Milliken"
Un mundo normal,103,"Adventure, Drama, Romance",4.5,Achero Mañas,"Ernesto Alterio, Gala Amyach, Ruth Díaz, Pau Durà"
The Racer,95,"Comedy, Drama, Sport",5.6,Kieron J. Walsh,"Louis Talpe, Matteo Simoni, Tara Lee, Iain Glen"
Dark Figures,82,Horror,6.0,Alex Tait,"Kelly McCart, Shelby Lyn, Dan Nufer, Ben Scattone"
Ironbark,111,Thriller,6.6,Dominic Cooke,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov"
Then Came You,97,"Comedy, Romance",5.4,Adriana Trigiani,"Craig Ferguson, Kathie Lee Gifford, Ford Kiernan, Phyllida Law"
Baaghi 3,143,"Action, Thriller",2.1,Ahmed Khan,"Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor, Bhawani Singh Rathore"
Kill Mode,97,"Action, Sci-Fi",2.9,Thijs Meuwese,"Dave Mantel, Julia Batelaan, Yasmin Blake, Cyriel Guds"
Ron Hopper's Misfortune,93,"Drama, Fantasy, Mystery",4.9,Jaime Falero,"Vinnie Jones, Sam Medina, Alyssa Lozovskaya, Franky Lankester"
Stage Mother,93,"Comedy, Drama, Music",6.4,Thom Fitzgerald,"Jacki Weaver, Lucy Liu, Adrian Grenier, Mya Taylor"
The Stand at Paxton County,102,Thriller,6.3,Brett Hedlund,"Jacqueline Toboni, Michael O'Neill, Tyler Jacob Moore, Christopher McDonald"
Haunting at Death Valley Junction,92,"Horror, Thriller, Western",2.0,James S. Horton,"Ernell Manabat, Victoria Viveiros, Gunter Nezhoda, Stu Chaiken"
The Dark Divide,107,"Adventure, Comedy, Drama",5.8,Tom Putnam,"David Cross, Debra Messing, David Koechner, Kimberly Guerrero"
How Do You Know Chris?,86,Drama,9.0,Ashley Harris,"Stephen Carracher, Luke Cook, Rachel Kim Cross, Lynn Gilmartin"
Emperor,99,"Action, Biography, Drama",5.5,Mark Amin,"Kat Graham, James Cromwell, Bruce Dern, M.C. Gainey"
Complete Strangers,105,"Drama, Thriller",3.4,Pau Masó,"Pau Masó, Matthew Crawley, Sian Abrahams, Fraser Fraser"
Gekijôban Shirobako,119,"Animation, Comedy, Drama",6.8,Tsutomu Mizushima,"Ayane Sakura, Yoshitsugu Matsuoka, Ai Kayano, Yûsuke Kobayashi"
Divos!,98,Comedy,6.5,Ryan Patrick Bartley,"Matt Steele, Timothy Brundidge, Nicole Sullivan, Jayson Bernard"
The Nest,107,"Drama, Romance",6.4,Sean Durkin,"Jude Law, Carrie Coon, Oona Roche, Charlie Shotwell"
Le prince oublié,101,"Adventure, Comedy, Family",5.2,Michel Hazanavicius,"Omar Sy, Bérénice Bejo, François Damiens, Sarah Gaye"
Ballbuster,86,"Comedy, Sport",2.9,Tom Hines,"Jerry O'Connell, Flex Alexander, Mark S. Allen, John Alston"
Rajavukku Check,129,Drama,5.9,S. Rajkumar,"Cheran, Srushti Dange, Sarayu Mohan, Nandana Varma"
The Last Laugh,81,Horror,2.9,Jeremy Berg,"Steve Vanderzee, Eric Stone, Lowell Deo, Angela DiMarco"
Amulet,99,"Horror, Mystery",4.7,Romola Garai,"Carla Juri, Alec Secareanu, Imelda Staunton, Anah Ruddin"
Shooting Heroin,90,"Action, Drama, Thriller",6.6,Spencer T. Folmar,"Sherilyn Fenn, Cathy Moriarty, Nicholas Turturro, Alan Powell"
They Live Inside Us,103,Horror,3.5,Michael Ballif,"James Morris, Hailey Nebeker, Stevie Dust, Emily Broschinsky"
En helt almindelig familie,93,"Drama, Family",6.9,Malou Reymann,"Jessica Dinnage, Mikkel Boe Følsgaard, Hadewych Minis, Neel Rønholt"
Legionnaire's Trail,96,"Action, Adventure, History",3.1,Jose Magan,"Lee Partridge, Mickey Rourke, Joaquim de Almeida, Vladimir Kulich"
The Host,102,"Crime, Horror, Mystery",4.9,Andy Newbery,"Maryam Hassouni, Mike Beckingham, Dougie Poynter, Nigel Barber"
Bruised,129,"Drama, Thriller",7.3,Halle Berry,"Halle Berry, Adan Canto, Stephen McKinley Henderson, Shamier Anderson"
All My Life,91,"Drama, Romance",6.2,Marc Meyers,"Jessica Rothe, Harry Shum Jr., Marielle Scott, Chrissie Fit"
Slow Machine,72,Thriller,5.3,,"Nicholas Armas, Claire Brownell, Milton Carter, Knieper Clemens"
Fox Hunt Drive,86,Thriller,6.2,Drew Walkup,"Lizzie Zerebko, Michael Olavson, Edward Craig, Ryan Forrestal"
Odin vdokh,97,"Biography, Drama, Sport",6.0,Elena Hazanova,"Kirsty Bartolo, Chris Dingli, Filipp Ershov, William Erazo Fernández"
Superette Anna,83,Drama,6.2,Piet Sonck,"R. Kan Albay, Tom Audenaert, Warre Borgmans, Kimke Desart"
Hab,89,Romance,6.9,Nóra Lakos,"Vica Kerekes, Miklós Bányai, Ferenc Elek, Kata Pálfi"
Vasy's Odyssey,105,"Comedy, Drama",7.6,Vasileios Papatheocharis,"Vasileios Papatheocharis, Maria Gregorio, Alejandro Tous, Erin Gallego"
Oslo: Copenhagen,76,Drama,7.2,Jan Vardoen,"Kathrine Thorborg Johansen, Lars Berge, Gordon Kennedy, Hallvard Holmen"
Ateet,120,Thriller,4.1,Tanuj Bhramar,"Rajeev Khandelwal, Priyamani, Sanjay Suri, Neha Bam"
Squatter,87,Horror,2.5,Jimmy Tyson,"Anne Nichols Brown, Alexis Morreale, Grits Carter, Kurt DeVille"
The Hunt,90,"Action, Horror, Thriller",6.5,Craig Zobel,"Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall"
Điệp Viên Siêu Lầy,99,"Action, Comedy",6.3,Peter Segal,"Dave Bautista, Chloe Coleman, Parisa Fitz-Henley, Kristen Schaal"
5th Borough,95,Crime,8.4,Steve Stanulis,"Steve Stanulis, Tara Reid, Lillo Brancato, Vincent Young"
Language Arts,127,Drama,8.6,Cornelia Duryée,"Sarah Shahi, Ashley Zukerman, Kevin Alejandro, Pamela Reed"
Marionette,112,"Mystery, Thriller",5.9,Elbert van Strien,"Thekla Reuten, Elijah Wolf, Emun Elliott, Sam Hazeldine"
Spirál,98,Drama,5.8,Cecília Felméri,"Alexandra Borbély, Bogdan Dumitrache, Diána Magdolna Kiss, Csaba Krisztik"
This is the Year,97,"Comedy, Drama",8.6,David Henrie,"Vanessa Marano, Gregg Sulkin, Bug Hall, David Henrie"
Kottayam,100,"Crime, Drama, Romance",6.9,Binu Bhaskar,"Sreenath Janardhanan, Chinnu Kuruvila, Ravi Mathew, Aneesh Menon"
The Protectors,90,"Adventure, Crime, Sci-Fi",7.0,Ben Hughes,"Chris Abbey Jr., Gabriel Kamas, Chris Massoglia, Leonard Searcy"
"Marcelino, el mejor payaso del mundo",80,Biography,8.7,Germán Roda,"Pepe Viyuela, Alberto Castrillo-Ferrer, Laura Gómez-Lacueva, Salomé Jiménez"
Banging Lanie,76,Comedy,4.6,Allison Powell,"Allison Powell, Daniela Rivera, Damian Alonso, Daniel Blake"
Greatland,104,"Fantasy, Sci-Fi",6.0,Dana Ziyasheva,"Shannon Briggs, Nhya Cedon, Ellen Clifford, Camille Curtis"
The Last Five Days,71,"Adventure, Horror, Thriller",3.3,Clay Moffatt,"Joe Pacini, Clay Moffatt, Adam Berardi, Dan Weisgerber"
You Should Have Left,93,"Drama, Horror, Mystery",5.4,David Koepp,"Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex, Colin Blumenau"
Cindy La Regia,109,Comedy,5.9,,"Martha Debayle, Diego Amozurrutia, Mayra Batalla, Regina Blandón"
M.O.M.: Mothers of Monsters,98,"Horror, Thriller",5.6,Tucia Lyman,"Sevan Aliksanian, Edward Asner, Cynthia Bell, Janet Ulrich Brooks"
Tokoloshe-The Calling,75,Horror,5.2,Richard Green,"Angela Balkovic, Rubendra Govender, Sanjay Laljith, Lloyd Grant O'Connor"
Looks That Kill,92,"Comedy, Drama, Romance",6.3,Kellen Moore,"Brandon Flynn, Tom Proctor, Annie Mumolo, Peter Scolari"
Body Cam,96,"Horror, Mystery, Thriller",5.3,Malik Vitthal,"Mary J. Blige, Nat Wolff, David Zayas, Anika Noni Rose"
Gul Makai,132,"Biography, Drama, War",2.0,Amjad Khan,"Reem Shaikh, Divya Dutta, Atul Kulkarni, Om Puri"
This Town,91,Comedy,6.9,David White,"Robyn Malcolm, David White, Alice May Connolly, Rima Te Wiata"
Equal Standard,101,"Action, Crime",5.5,Brendan Kyle Cochrane,"Ice-T, Jules Willcox, Fredro Starr, Robert Clohessy"
Sophie Jones,85,Drama,6.4,Jessie Barr,"Sam Kamerman, Tristan Decker, Chase Offerle, Natalie Shershow"
Green Rush,87,Thriller,3.8,Gerard Roxburgh,"Mike Foy, Paul Telfer, Kriss Dozal, Misha Crosby"
John Henry,91,"Drama, Thriller",3.5,Will Forbes,"Terry Crews, Jamila Velazquez, Ludacris, Ken Foree"
Cosas de Hombres,100,Comedy,2.7,Gabriela Sobarzo,"Marcial Tagle, Paz Bascuñán, Boris Quercia, Pablo Zúñiga"
Follow Me,91,"Adventure, Horror, Thriller",5.4,Will Wernick,"Keegan Allen, Holland Roden, Denzel Whitaker, Ronen Rubinstein"
Dead by Dawn,85,Horror,3.2,Sean Cain,"Drew Lindsey Mitchell, Kelcey Watson, Jamie Bernadette, Bo Burroughs"
The F**k-It List,103,Comedy,5.1,Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Karan Brar"
Kajillionaire,104,"Crime, Drama",6.4,Miranda July,"Evan Rachel Wood, Patricia Belcher, Kim Estes, Da'Vine Joy Randolph"
Here We Are,94,Drama,7.3,Nir Bergman,"Shai Avivi, Noam Imber, Smadi Wolfman, Efrat Ben-Zur"
Battlefield 2025,84,Sci-Fi,2.0,Joseph Mbah,"Jose Rosete, Anna Harr, Dustin Leighton, Caleb Thomas"
La nuit des rois,93,"Drama, Fantasy",6.1,Philippe Lacôte,"Denis Lavant, Issaka Sawadogo, Steve Tientcheu, Bakary Koné"
Av: The Hunt,86,Thriller,6.1,Emre Akay,"Ahmet Rifat Sungar, Adam Bay, Emre Yetim, Billur Melis Koç"
Phobias,85,"Horror, Thriller",6.0,,"Alexis Knapp, Charlotte McKinney, Lauren Miller Rogen, Hana Mae Lee"
Pohani dorogy,105,Drama,7.0,Natalya Vorozhbit,"Zoya Baranovskaya, Oksana Cherkashyna, Vladimir Gurin, Maryna Klimova"
Kỳ Nghỉ Nhớ Đời,106,"Action, Comedy, Crime",5.1,Bong-han Kim,"Do-won Kwak, Dae-Myung Kim, Hee-won Kim, Sang-ho Kim"
Go!,102,"Family, Sport",5.9,Owen Trevor,"Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel"
Dil Bechara,101,"Comedy, Drama, Romance",7.9,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
PVT CHAT,86,Drama,6.5,Ben Hozie,"Heather Allison, Nikki Belfiglio, Austin Brown, Atticus Cain"
The Unfamiliar,89,"Horror, Thriller",5.8,Henk Pretorius,"Jemima West, Christopher Dane, Rebecca Hanssen, Harry McMillan-Hunt"
Tanhaji: The Unsung Warrior,135,"Action, Biography, Drama",7.6,Om Raut,"Ajay Devgn, Saif Ali Khan, Sharad Kelkar, Kajol"
Earth,86,Drama,8.9,Visakesa Chandrasekaram,"Nita Fernando, Nadie Kammallaweera, Jagath Manuwarna, Nilmini Buwaneka"
The Night,105,"Horror, Mystery, Thriller",5.8,Kourosh Ahari,"Shahab Hosseini, Niousha Noor, Leah Oganyan, George Maguire"
La guerra di Cam,83,,8.1,Laura Muscardin,"Alessio Praticò, Lorenzo McGovern Zaini, Sofia Iacuitto, Katie McGovern"
A Deadly Place,83,Thriller,4.3,J.R. Giurissevich,"Cassandra Ebner, Douglas Chapman, Iain Belcher, Rachel Renaud"
Fate/Stay Night: Heaven's Feel - III. Spring Song,120,"Animation, Action, Drama",7.9,Tomonori Sudô,"Yu Asakawa, Mai Kadowaki, Jôji Nakata, Tadahisa Saizen"
