Name,Runtime,Genre,IMDB,Director,Stars
Jai Mummy Di,103,"Comedy, Drama, Romance",3.6,Navjot Gulati,"Poonam Dhillon, Supriya Pathak, Sunny Singh Nijjar, Sonnalli Seygall"
Hooking Up,104,"Comedy, Drama",5.4,Nico Raineau,"Brittany Snow, Sam Richardson, Anna Akana, Jordana Brewster"
G-Loc,92,Sci-Fi,5.3,Tom Paton,"Stephen Moyer, Mike Beckingham, Emily Haigh, John Rhys-Davies"
Kaanadante Maayavadanu,127,Fantasy,8.8,Raj Pathipati,"Kadur Dharmanna, Achyuth Kumar, Bhajarangi Loki, Sindhu Loknath"
It Snows in Benidorm,117,"Action, Adventure, Romance",5.8,Isabel Coixet,"Timothy Spall, Sarita Choudhury, Carmen Machi, Pedro Casablanc"
The Owners,92,"Action, Horror, Thriller",4.8,Julius Berg,"Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran"
Betonrausch,94,"Comedy, Drama",5.7,Cüneyt Kaya,"David Kross, Emily Goss, Frederick Lau, Sophia Thomalla"
Isi & Ossi,113,"Comedy, Romance",6.4,Oliver Kienle,"Lisa Vicari, Darcy Rose Byrnes, Dennis Mojen, Susan Angelo"
Shadowtown,84,Drama,8.6,,"Brittany Bristow, Edda Björgvinsdóttir, Kolbeinn Arnbjörnsson, John Rhys-Davies"
Para toda la muerte,76,Comedy,5.3,Alfonso Sánchez,"María Cabrera, Estefanía de los Santos, Mila Fernández, Alberto López"
Amants,102,"Drama, Thriller",4.8,Nicole Garcia,"Pierre Niney, Stacy Martin, Benoît Magimel, Christophe Montenez"
The Hardness of Avocado,125,"Comedy, Romance",3.4,Masaya Joe,"Mizuki Maehara, Akie Namiki"
Spagat,110,Drama,7.5,Christian Johannes Koch,"Rachel Braunschweig, Aleksey Serebryakov, Masha Demiri, Nellie Hächler"
Big Boys Don't Cry,90,"Biography, Crime, Drama",8.1,Steve Crowhurst,"Daniel Adegboyega, Victoria Alcock, Andrew Baguley, Julie Binysh"
Hour of Lead,95,"Action, Mystery, Thriller",5.7,Peter Facinelli,"Anne Heche, Thomas Jane, Jason Patric, Alex Haydon"
Luz nos Trópicos,259,Drama,7.4,Paula Gaitán,"Carloto Cotta, Clara Choveaux, Kanu Kuikuro, Maíra Senise"
Hannah: And Other Misadventures,82,Comedy,2.4,Takani Dillon,"Jarryd Doyle, Melissa Haydee, Sasha Dulics, Cassidy-Rae Nicholson"
Ill: Final Contagium,105,"Fantasy, Horror, Sci-Fi",3.6,,"Ximena del Solar, Arianna Bonardi, Chiara Pavoni, Francesco Giannotti"
