Title,Runtime,Genre,Rating,Directors,Stars
 39. Aladdin (2019) ,128,"Adventure, Family, Fantasy",6.9,Guy Ritchie,"Will Smith,Mena Massoud,Naomi Scott,Marwan Kenzari"
 40. Fast & Furious Presents: Hobbs & Shaw (2019) ,137,"Action, Adventure, Thriller",6.4,David Leitch,"Dwayne Johnson,Jason Statham,Idris Elba,Vanessa Kirby"
 41. Terminator: Dark Fate (2019) ,128,"Action, Adventure, Sci-Fi",6.2,Tim Miller,"Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis,Natalia Reyes"
 42. Vivarium (2019) ,97,"Comedy, Horror, Mystery",5.8,Lorcan Finnegan,"Imogen Poots,Danielle Ryan,Molly McCann,Jesse Eisenberg"
 43. Toy Story 4 (2019) ,100,"Animation, Adventure, Comedy",7.8,Josh Cooley,"Tom Hanks,Tim Allen,Annie Potts,Tony Hale"
 44. Ad Astra (2019) ,123,"Adventure, Drama, Mystery",6.5,James Gray,"Brad Pitt,Tommy Lee Jones,Ruth Negga,Donald Sutherland"
 45. Dark Waters (2019) ,126,"Biography, Drama, History",7.6,Todd Haynes,"Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman"
 46. First Cow (2019) ,122,Drama,7.1,Kelly Reichardt,"Alia Shawkat,John Magaro,Dylan Smith,Ryan Findley"
 47. John Wick: Chapter 3 - Parabellum (2019) ,130,"Action, Crime, Thriller",7.4,Chad Stahelski,"Keanu Reeves,Halle Berry,Ian McShane,Laurence Fishburne"
 48. I See You (II) (2019) ,98,"Crime, Drama, Horror",6.8,Adam Randall,"Helen Hunt,Jon Tenney,Owen Teague,Judah Lewis"
 49. Tayna pechati drakona (2019) ,120,"Action, Adventure, Family",4.7,Oleg Stepchenko,"Jason Flemyng,Xingtong Yao,Jackie Chan,Arnold Schwarzenegger"
 50. The Informer (2019) ,113,"Action, Crime, Drama",6.6,Andrea Di Stefano,"Joel Kinnaman,Rosamund Pike,Common,Mateusz Kosciukiewicz"
 51. Alita: Battle Angel (2019) ,122,"Action, Adventure, Sci-Fi",7.3,Robert Rodriguez,"Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali"
 52. Ready or Not (I) (2019) ,95,"Comedy, Horror, Mystery",6.8,"Matt Bettinelli-Olpin,Tyler Gillett","Samara Weaving,Adam Brody,Mark O'Brien,Henry Czerny"
 53. Us (II) (2019) ,116,"Horror, Mystery, Thriller",6.8,Jordan Peele,"Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecker"
 54. Hustlers (2019) ,110,"Comedy, Crime, Drama",6.3,Lorene Scafaria,"Constance Wu,Jennifer Lopez,Julia Stiles,Mette Towley"
 55. Triple Frontier (2019) ,125,"Action, Adventure, Crime",6.4,J.C. Chandor,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund"
 56. Charlie's Angels (2019) ,118,"Action, Adventure, Comedy",4.8,Elizabeth Banks,"Kristen Stewart,Naomi Scott,Ella Balinska,Elizabeth Banks"
 57. Noelle (2019) ,100,"Comedy, Family, Fantasy",6.3,Marc Lawrence,"Anna Kendrick,Shirley MacLaine,Bill Hader,Kingsley Ben-Adir"
 58. Gemini Man (2019) ,117,"Action, Drama, Sci-Fi",5.7,Ang Lee,"Will Smith,Mary Elizabeth Winstead,Clive Owen,Benedict Wong"
 59. The Vast of Night (2019) ,91,"Drama, Mystery, Sci-Fi",6.7,Andrew Patterson,"Sierra McCormick,Jake Horowitz,Gail Cronauer,Bruce Davis"
 60. A Beautiful Day in the Neighborhood (2019) ,109,"Biography, Drama",7.3,Marielle Heller,"Tom Hanks,Matthew Rhys,Chris Cooper,Susan Kelechi Watson"
 61. El hoyo (2019) ,94,"Horror, Sci-Fi, Thriller",7.0,Galder Gaztelu-Urrutia,"Ivan Massagué,Zorion Eguileor,Antonia San Juan,Emilio Buale"
 62. The Assistant (III) (2019) ,87,Drama,6.2,Kitty Green,"Julia Garner,Owen Holland,Jon Orsini,Rory Kulz"
 63. Dark Phoenix (2019) ,113,"Action, Adventure, Sci-Fi",5.8,Simon Kinberg,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult"
 64. The Personal History of David Copperfield (2019) ,119,"Comedy, Drama",6.4,Armando Iannucci,"Dev Patel,Hugh Laurie,Tilda Swinton,Peter Capaldi"
 65. Polar (I) (2019) ,118,"Action, Crime, Drama",6.3,Jonas Åkerlund,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren"
 66. Bad Education (2019) ,108,"Biography, Comedy, Crime",7.1,Cory Finley,"Hugh Jackman,Ray Romano,Welker White,Allison Janney"
 67. Glass (2019) ,129,"Drama, Sci-Fi, Thriller",6.7,M. Night Shyamalan,"James McAvoy,Bruce Willis,Samuel L. Jackson,Anya Taylor-Joy"
 68. 21 Bridges (2019) ,99,"Action, Crime, Thriller",6.6,Brian Kirk,"Chadwick Boseman,Sienna Miller,J.K. Simmons,Stephan James"
 69. The Outpost (2019) ,123,"Action, Drama, History",6.8,Rod Lurie,"Scott Eastwood,Caleb Landry Jones,Orlando Bloom,Jack Kesy"
" 70. Extremely Wicked, Shockingly Evil and Vile (2019) ",110,"Biography, Crime, Drama",6.6,Joe Berlinger,"Lily Collins,Zac Efron,Angela Sarafyan,Sydney Vollmer"
 71. Booksmart (2019) ,102,Comedy,7.2,Olivia Wilde,"Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Jason Sudeikis"
 72. It Chapter Two (2019) ,169,"Drama, Fantasy, Horror",6.5,Andy Muschietti,"Jessica Chastain,James McAvoy,Bill Hader,Isaiah Mustafa"
 73. Mosul (I) (2019) ,86,"Action, Drama, War",7.1,Matthew Michael Carnahan,"Waleed Elgadi,Hayat Kamille,Thaer Al-Shayei,Suhail Dabbach"
 74. Marriage Story (2019) ,137,"Comedy, Drama, Romance",7.9,Noah Baumbach,"Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson"
 75. Yesterday (III) (2019) ,116,"Comedy, Fantasy, Music",6.8,Danny Boyle,"Himesh Patel,Lily James,Sophia Di Martino,Ellise Chappell"
 76. Feast of the Seven Fishes (2019) ,99,Comedy,6.7,Robert Tinnell,"Skyler Gisondo,Madison Iseman,Josh Helman,Ray Abruzzo"
 77. The Highwaymen (2019) ,132,"Biography, Crime, Drama",6.9,John Lee Hancock,"Kevin Costner,Woody Harrelson,Kathy Bates,John Carroll Lynch"
 78. Judy (II) (2019) ,118,"Biography, Drama, Romance",6.8,Rupert Goold,"Renée Zellweger,Jessie Buckley,Finn Wittrock,Rufus Sewell"
 79. The Dead Don't Die (2019) ,104,"Comedy, Fantasy, Horror",5.5,Jim Jarmusch,"Bill Murray,Adam Driver,Tom Waits,Chloë Sevigny"
 80. Buddy Games (2019) ,90,Comedy,5.0,Josh Duhamel,"Dan Bakkedahl,Kevin Dillon,Josh Duhamel,Olivia Munn"
 81. The Lodge (2019) ,108,"Drama, Horror, Thriller",6.0,"Severin Fiala,Veronika Franz","Riley Keough,Jaeden Martell,Lia McHugh,Richard Armitage"
 82. Angel Has Fallen (2019) ,121,"Action, Thriller",6.4,Ric Roman Waugh,"Gerard Butler,Frederick Schmidt,Danny Huston,Rocci Williams"
 83. Motherless Brooklyn (2019) ,144,"Crime, Drama, Mystery",6.8,Edward Norton,"Edward Norton,Gugu Mbatha-Raw,Alec Baldwin,Willem Dafoe"
 84. Just Mercy (2019) ,137,"Biography, Crime, Drama",7.6,Destin Daniel Cretton,"Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr."
 85. How to Train Your Dragon: The Hidden World (2019) ,104,"Animation, Action, Adventure",7.5,Dean DeBlois,"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett"
 86. Godzilla: King of the Monsters (2019) ,132,"Action, Adventure, Fantasy",6.0,Michael Dougherty,"Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Ken Watanabe"
 87. Waiting for the Barbarians (2019) ,112,Drama,5.8,Ciro Guerra,"Mark Rylance,Johnny Depp,Robert Pattinson,Gana Bayarsaikhan"
 88. Downton Abbey (2019) ,122,"Drama, Romance",7.4,Michael Engler,"Stephen Campbell Moore,Michael Fox,Lesley Nicol,Sophie McShera"
 89. Zombieland: Double Tap (2019) ,99,"Action, Adventure, Comedy",6.7,Ruben Fleischer,"Woody Harrelson,Jesse Eisenberg,Emma Stone,Abigail Breslin"
 90. Babyteeth (2019) ,118,"Comedy, Drama, Music",7.1,Shannon Murphy,"Eliza Scanlen,Michelle Lotters,Toby Wallace,Sora Wakaki"
 91. Guns Akimbo (2019) ,98,"Action, Comedy, Thriller",6.3,Jason Lei Howden,"Daniel Radcliffe,Samara Weaving,Ned Dennehy,Natasha Liu Bordizzo"
 92. Official Secrets (2019) ,112,"Biography, Crime, Drama",7.3,Gavin Hood,"Keira Knightley,Matt Smith,Matthew Goode,Rhys Ifans"
" 93. Yes, God, Yes (2019) ",78,"Comedy, Drama",6.1,Karen Maine,"Natalia Dyer,Timothy Simons,Wolfgang Novogratz,Francesca Reale"
 94. Maleficent: Mistress of Evil (2019) ,119,"Adventure, Family, Fantasy",6.6,Joachim Rønning,"Angelina Jolie,Elle Fanning,Harris Dickinson,Michelle Pfeiffer"
 95. Togo (2019) ,113,"Adventure, Biography, Drama",8.0,Ericson Core,"Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer"
 96. A Dog's Way Home (2019) ,96,"Adventure, Drama, Family",6.7,Charles Martin Smith,"Ashley Judd,Jonah Hauer-King,Edward James Olmos,Alexandra Shipp"
 97. Color Out of Space (2019) ,111,"Horror, Mystery, Sci-Fi",6.2,Richard Stanley,"Nicolas Cage,Joely Richardson,Madeleine Arthur,Elliot Knight"
 98. Anna (II) (2019) ,118,"Action, Thriller",6.6,Luc Besson,"Sasha Luss,Helen Mirren,Luke Evans,Cillian Murphy"
 99. Fractured (I) (2019) ,99,"Mystery, Thriller",6.4,Brad Anderson,"Sam Worthington,Lily Rabe,Lucy Capri,Adjoa Andoh"
 100. Code 8 (2019) ,98,"Action, Crime, Drama",6.1,Jeff Chan,"Kari Matchett,Robbie Amell,Penny Eizenga,Lawrence Bayne"
 101. Murder Mystery (2019) ,97,"Action, Comedy, Crime",6.0,Kyle Newacheck,"Adam Sandler,Jennifer Aniston,Luke Evans,Terence Stamp"
 102. The Good Liar (2019) ,109,"Crime, Drama, Mystery",6.6,Bill Condon,"Helen Mirren,Ian McKellen,Russell Tovey,Jim Carter"
 103. Let It Snow (2019) ,92,"Comedy, Romance",5.8,Luke Snellin,"Isabela Merced,Shameik Moore,Odeya Rush,Liv Hewson"
 104. A Rainy Day in New York (2019) ,92,"Comedy, Romance",6.5,Woody Allen,"Timothée Chalamet,Elle Fanning,Liev Schreiber,Suzanne Smith"
 105. El Camino: A Breaking Bad Movie (2019) ,122,"Action, Crime, Drama",7.3,Vince Gilligan,"Aaron Paul,Jonathan Banks,Matt Jones,Charles Baker"
 106. Fighting with My Family (2019) ,108,"Biography, Comedy, Drama",7.1,Stephen Merchant,"Dwayne Johnson,Lena Headey,Vince Vaughn,Florence Pugh"
 107. Spies in Disguise (2019) ,102,"Animation, Action, Adventure",6.8,"Nick Bruno,Troy Quane","Rachel Brosnahan,Jarrett Bruno,Claire Crosby,Toru Uchikado"
 108. Swallow (I) (2019) ,94,"Drama, Mystery, Thriller",6.4,Carlo Mirabella-Davis,"Haley Bennett,Austin Stowell,Denis O'Hare,Elizabeth Marvel"
 109. Long Shot (2019) ,125,"Comedy, Romance",6.8,Jonathan Levine,"Charlize Theron,Seth Rogen,June Diane Raphael,O'Shea Jackson Jr."
 110. Men in Black: International (2019) ,114,"Action, Adventure, Comedy",5.6,F. Gary Gray,"Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Rebecca Ferguson"
 111. In the Shadow of the Moon (2019) ,115,"Crime, Mystery, Sci-Fi",6.2,Jim Mickle,"Boyd Holbrook,Cleopatra Coleman,Bokeem Woodbine,Michael C. Hall"
 112. Honey Boy (2019) ,94,Drama,7.3,Alma Har'el,"Shia LaBeouf,Lucas Hedges,Noah Jupe,Byron Bowers"
 113. Saint Maud (2019) ,84,"Drama, Horror, Mystery",7.1,Rose Glass,"Morfydd Clark,Jennifer Ehle,Lily Knight,Lily Frazer"
 114. Isn't It Romantic (2019) ,89,"Comedy, Fantasy, Romance",5.9,Todd Strauss-Schulson,"Rebel Wilson,Liam Hemsworth,Adam Devine,Priyanka Chopra"
 115. Bacurau (2019) ,131,"Adventure, Horror, Mystery",7.4,"Juliano Dornelles,Kleber Mendonça Filho","Bárbara Colen,Thomas Aquino,Silvero Pereira,Thardelly Lima"
 116. The Goldfinch (2019) ,149,Drama,6.3,John Crowley,"Oakes Fegley,Ansel Elgort,Nicole Kidman,Jeffrey Wright"
